Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio,Win,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq,EpisodeTime,AverageMoveTime
15,0,46,0.9966,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.576355934143066,0.192118644714356
16,4.23913043478261,85,0.9963,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.562358617782593,0.187452872594198
17,3.47826086956522,78,0.9958,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.939941883087158,0.187988376617432
18,4.56521739130435,88,0.9956,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.423650741577148,0.211825370788574
19,-3.15217391304348,17,0.9952,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.785514116287231,0.196378529071808
20,4.34782608695652,86,0.9947,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.9174964427948,0.18349928855896
21,4.34782608695652,86,0.994300000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.756112575531006,0.189028143882751
22,4.02173913043478,83,0.994000000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.542480945587158,0.180826981862386
23,3.04347826086957,74,0.993000000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.83574414253235,0.183574414253235
24,4.23913043478261,85,0.992100000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.71641993522644,0.190713326136271
25,4.45652173913043,87,0.991800000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.544612169265747,0.181537389755249
26,4.23913043478261,85,0.991200000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.14394211769104,0.190657019615173
27,4.45652173913043,87,0.990700000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.949116945266724,0.189823389053345
28,3.91304347826087,82,0.989700000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.94251132011414,0.194251132011414
29,3.69565217391304,80,0.989000000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.40350699424744,0.200500999178205
30,4.45652173913043,87,0.988300000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.35003519058228,0.192862170083182
31,3.58695652173913,79,0.988100000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.385386466979981,0.19269323348999
32,3.91304347826087,82,0.987700000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.799899816513062,0.199974954128265
33,2.17391304347826,66,0.987500000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.378844499588013,0.189422249794006
34,3.91304347826087,82,0.987300000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.385362148284912,0.192681074142456
35,4.02173913043478,83,0.986300000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.99093294143677,0.199093294143677
36,4.78260869565217,90,0.985500000000001,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.51531100273132,0.189413875341415
37,4.34782608695652,86,0.985000000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.92253828048706,0.184507656097412
38,4.23913043478261,85,0.984500000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.947539329528809,0.189507865905762
39,4.1304347826087,84,0.984200000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.566594123840332,0.188864707946777
40,4.45652173913043,87,0.983700000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.972617626190186,0.194523525238037
41,3.15217391304348,75,0.983100000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.33510613441467,0.222517689069112
42,-0.217391304347826,44,0.982800000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.664327383041382,0.221442461013794
43,4.56521739130435,88,0.982400000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.805116415023804,0.201279103755951
44,4.56521739130435,88,0.981900000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.998259544372559,0.199651908874512
45,3.80434782608696,81,0.981400000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.945995330810547,0.189199066162109
